,,,Forward chamber - part 2,,,,Forward chamber - part 1,,,,EWB module - 15.5m,,,,CT2 chamber,,,,CT2 dish assembly - pumping,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - part 1,,,,HF chamber - part 2,,,,HF chamber - part 1,,,,End Cap chamber - part 11,,,,End Cap chamber - part 10,,,,End Cap chamber - part 9,,,,End Cap chamber - part 8,,,,End Cap chamber - part 7,,,,End Cap chamber - part 6,,,,End Cap chamber - part 5,,,,End Cap chamber - part 4,,,,End Cap chamber - part 3,,,,End Cap chamber - part 2,,,,End Cap chamber - part 1,,,,End Cap chamber - compensator 3.2m,,,,VC5C flange,,,,VC5C cone - part 2,,,,VC5C cone - part 1,,,,VC5C - central part,,,,VC5C cone - part 1,,,,VC5C cone - part 2,,,,VC5C flange,,,,End Cap chamber - compensator 3.2m,,,,End Cap chamber - part 1,,,,End Cap chamber - part 2,,,,End Cap chamber - part 3,,,,End Cap chamber - part 4,,,,End Cap chamber - part 5,,,,End Cap chamber - part 6,,,,End Cap chamber - part 7,,,,End Cap chamber - part 8,,,,End Cap chamber - part 9,,,,End Cap chamber - part 10,,,,End Cap chamber - part 11,,,,HF chamber - part 1,,,,HF chamber - part 2,,,,CT2 dish assembly - part 1,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - pumping,,,,CT2 chamber,,,,EWB module - 15.5m,,,,Forward chamber - part 1,,,,Forward chamber - part 2,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,0,0,0,23,0,0,0,24,0,0,0,25,0,0,0,26,0,0,0,27,0,0,0,28,0,0,0,29,0,0,0,30,0,0,0,31,0,0,0,32,0,0,0,33,0,0,0,34,0,0,0,35,0,0,0,36,0,0,0,37,0,0,0,38,0,0,0,39,0,0,0,40,0,0,0,41,0,0,0,42,0,0,0,43,0,0,0,44,0,0,0,45,0,0,0,46,0,0,0,47,0,0,0,48,0,0,0,49,0,0,0
in_d = [,[mm],%,100,0,0,0,80,0,0,0,63,0,0,0,55,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,206,0,0,0,175,0,0,0,175,0,0,0,320,0,0,0,296,0,0,0,270,0,0,0,244,0,0,0,221,0,0,0,201,0,0,0,179,0,0,0,157,0,0,0,134,0,0,0,118,0,0,0,108,0,0,0,91,0,0,0,74,0,0,0,50,0,0,0,43,0,0,0,50,0,0,0,74,0,0,0,91,0,0,0,108,0,0,0,118,0,0,0,134,0,0,0,157,0,0,0,179,0,0,0,201,0,0,0,221,0,0,0,244,0,0,0,270,0,0,0,296,0,0,0,320,0,0,0,175,0,0,0,175,0,0,0,206,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,55,0,0,0,63,0,0,0,80,0,0,0,100,0,0,0
in_L = [,[mm],%,1384,0,0,0,250,0,0,0,308,0,0,0,2613,0,0,0,1,0,0,0,95,0,0,0,96,0,0,0,1274,0,0,0,1274,0,0,0,93,0,0,0,93,0,0,0,815,0,0,0,882,0,0,0,882,0,0,0,725,0,0,0,724,0,0,0,730,0,0,0,730,0,0,0,770,0,0,0,779,0,0,0,371,0,0,0,50,0,0,0,1168,0,0,0,444,0,0,0,2916,0,0,0,444,0,0,0,1168,0,0,0,50,0,0,0,371,0,0,0,779,0,0,0,770,0,0,0,730,0,0,0,730,0,0,0,724,0,0,0,725,0,0,0,882,0,0,0,882,0,0,0,815,0,0,0,93,0,0,0,93,0,0,0,1274,0,0,0,1274,0,0,0,96,0,0,0,95,0,0,0,1,0,0,0,2613,0,0,0,308,0,0,0,250,0,0,0,1384,0,0,0
in_dist_ref = [,[mm],%,0,0,0,0,1384,0,0,0,1634,0,0,0,1942,0,0,0,4555,0,0,0,4556,0,0,0,4651,0,0,0,4747,0,0,0,6021,0,0,0,7295,0,0,0,7388,0,0,0,7481,0,0,0,8296,0,0,0,9178,0,0,0,10060,0,0,0,10785,0,0,0,11509,0,0,0,12239,0,0,0,12969,0,0,0,13739,0,0,0,14518,0,0,0,14889,0,0,0,14939,0,0,0,16107,0,0,0,16551,0,0,0,19467,0,0,0,19911,0,0,0,21079,0,0,0,21129,0,0,0,21500,0,0,0,22279,0,0,0,23049,0,0,0,23779,0,0,0,24509,0,0,0,25233,0,0,0,25958,0,0,0,26840,0,0,0,27722,0,0,0,28537,0,0,0,28630,0,0,0,28723,0,0,0,29997,0,0,0,31271,0,0,0,31367,0,0,0,31462,0,0,0,31463,0,0,0,34076,0,0,0,34384,0,0,0,34634,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0
in_S = [,[l/s] (H2),%,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
