CMS,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,
d[mm],100,80,63,55,269,269,269,206,175,175,320,296,270,244,221,201,179,157,134,118,108,91,74,50,43,50,74,91,108,118,134,157,179,201,221,244,270,296,320,175,175,206,269,269,269,55,63,80,100,
L[mm],1384,250,308,2613,1,95,96,1274,1274,93,93,815,882,882,725,724,730,730,770,779,371,50,1168,444,2916,444,1168,50,371,779,770,730,730,724,725,882,882,815,93,93,1274,1274,96,95,1,2613,308,250,1384,
T[K],300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
Material,NEG,NEG,Module_EWB_15.5m,NEG,CT2_dish_assembly_pumping,CT2_dish_assembly_part2,CT2_dish_assembly_part1,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,compensator_3.2m,NEG,NEG,NEG,NEG,NEG,NEG,NEG,compensator_3.2m,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,CT2_dish_assembly_part1,CT2_dish_assembly_part2,CT2_dish_assembly_pumping,NEG,Module_EWB_15.5m,NEG,NEG,
Pump,P1,P0,P0,P0,P1,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P1,P0,P0,P0,P0,P1
Gassource,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0
Photon flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Electron flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1384,1634,1942,4555,4556,4651,4747,6021,7295,7388,7481,8296,9178,10060,10785,11509,12239,12969,13739,14518,14889,14939,16107,16551,19467,,,,,,,,,,,,,,,,,,,,,,,,,
