Half Gap [mm], ecurrent_T3 [A] 
1.0,0.034392577323 
2.0,0.0327740836806 
3.0,0.0317096179452 
4.0,0.031530024382 
5.0,0.0324510274328 
6.0,0.0345173110825 
7.0,0.0377243198731 
8.0,0.0420867750119 
9.0,0.0478177890986 
10.0,0.0543909542232 
12.5,0.0706812948744 
15.0,0.0846791693864 
17.5,0.0992102112094 
20.0,0.111810016275 
22.5,0.123553980739 
25.0,0.136615176279 
27.5,0.149121918086 
30.0,0.161473247794 
32.5,0.17324848391 
35.0,0.182240971957 
37.5,0.189048722718 
40.0,0.193301582323 
42.5,0.193935833023 
45.0,0.191427480923 
47.5,0.186062840044 
50.0,0.177968588994 
