Half Gap [mm], ecurrent_T3 [A] 
1.0,0.033877132339 
2.0,0.0316832105288 
3.0,0.0296912163865 
4.0,0.0282349680239 
5.0,0.027318474045 
6.0,0.0268665199589 
7.0,0.0270301205453 
8.0,0.0277309174138 
9.0,0.0287665094302 
10.0,0.0303032566173 
12.5,0.0361112305445 
15.0,0.0434024134976 
17.5,0.0527990186916 
20.0,0.0623158670325 
22.5,0.0728660974128 
25.0,0.0844908853577 
27.5,0.0967618657553 
30.0,0.109187030372 
32.5,0.120155947218 
35.0,0.128924632247 
37.5,0.134501818396 
40.0,0.136587385674 
42.5,0.134859393486 
45.0,0.129370725257 
47.5,0.12047962766 
50.0,0.109081381007 
