eDose [e/cm2],SEY
8.08765E+14,1.473417581
1.10632E+15,1.49528403
1.53505E+15,1.496609269
2.136E+15,1.478409315
2.90527E+15,1.478409315
4.04264E+15,1.466349637
5.62528E+15,1.458619074
7.673E+15,1.44669192
1.06465E+16,1.427696823
1.47724E+16,1.404505134
2.02073E+16,1.352599926
2.80382E+16,1.328745618
3.89039E+16,1.291638916
5.3217E+16,1.254532214
7.38402E+16,1.223609962
1.02456E+17,1.192687711
1.4216E+17,1.161765459
1.94462E+17,1.143212108
2.69822E+17,1.118474307
3.74387E+17,1.098595717
5.12128E+17,1.08578507
7.10592E+17,1.081632653
9.72027E+17,1.074741408
1.34872E+18,1.073946265
1.87139E+18,1.072974423
2.60401E+18,1.072709375
