Half-Gap [mm],SEY 1,SEY 1.1,SEY 1.2 ,SEY 1.3,SEY 1.4,SEY 1.5,SEY 1.6
4,2.13E+11,2.92E+11,4.65E+11,1.09E+12,2.84E+13,4.33E+16,9.75E+16
6,2.19E+11,3.00E+11,4.78E+11,1.14E+12,3.75E+13,4.65E+16,1.07E+17
8,2.28E+11,3.18E+11,5.16E+11,1.37E+12,2.75E+14,6.14E+16,1.27E+17
10,2.42E+11,3.45E+11,6.06E+11,2.06E+12,1.04E+16,9.06E+16,1.62E+17
15,2.94E+11,4.82E+11,1.27E+12,5.39E+14,9.48E+16,1.85E+17,2.67E+17
20,3.62E+11,7.23E+11,6.77E+12,6.13E+16,1.75E+17,2.72E+17,3.67E+17
25,4.42E+11,1.32E+12,1.17E+16,1.25E+17,2.47E+17,3.58E+17,4.71E+17
30,5.58E+11,4.42E+12,4.01E+16,1.80E+17,3.14E+17,4.43E+17,5.74E+17
35,6.99E+11,3.70E+14,7.40E+16,2.23E+17,3.71E+17,5.17E+17,6.66E+17
40,8.29E+11,4.03E+15,9.78E+16,2.50E+17,4.06E+17,5.65E+17,7.30E+17
45,9.37E+11,6.45E+15,1.09E+17,2.60E+17,4.18E+17,5.84E+17,7.58E+17
50,9.97E+11,8.85E+15,1.04E+17,2.59E+17,4.14E+17,5.77E+17,7.50E+17
