Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
9.51E-06,9.51E-09,5.73E+12,0.22711,0.012382,0.078124,0.028064,0.012283,0.074985
2.04E-05,2.04E-08,1.23E+13,0.25069,0.013179,0.10485,0.033751,0.013306,0.079627
3.05E-05,3.05E-08,1.84E+13,0.25793,0.014567,0.12754,0.035449,0.014296,0.079582
4.02E-05,4.02E-08,2.42E+13,0.27495,0.014125,0.13458,0.039438,0.014236,0.085732
4.97E-05,4.97E-08,2.99E+13,0.27899,0.015456,0.14139,0.039016,0.013205,0.08445
5.99E-05,5.99E-08,3.61E+13,0.28983,0.014915,0.14767,0.043984,0.01347,0.084548
6.98E-05,6.98E-08,4.20E+13,0.29025,0.015339,0.16071,0.043355,0.014549,0.08798
7.95E-05,7.95E-08,4.79E+13,0.2985,0.015214,0.16577,0.044917,0.012943,0.083665
8.87E-05,8.87E-08,5.34E+13,0.29958,0.015302,0.17231,0.044715,0.014247,0.083292
9.78E-05,9.78E-08,5.89E+13,0.3061,0.015645,0.1737,0.045287,0.012367,0.085469
0.00010955,1.10E-07,6.60E+13,0.1955,0.0096743,0.053047,0.020222,0.011267,0.056287
0.00011934,1.19E-07,7.19E+13,0.22451,0.011952,0.084885,0.024858,0.01254,0.064728
0.00012836,1.28E-07,7.73E+13,0.22034,0.012302,0.096535,0.028396,0.011924,0.069846
0.00013678,1.37E-07,8.24E+13,0.24336,0.013291,0.10297,0.03068,0.01171,0.074698
0.00014642,1.46E-07,8.82E+13,0.24405,0.012971,0.11398,0.03111,0.012199,0.075715
0.00015607,1.56E-07,9.40E+13,0.25042,0.014656,0.12301,0.036843,0.012602,0.0721
0.0001647,1.65E-07,9.92E+13,0.24962,0.01437,0.13206,0.037076,0.011246,0.072315
0.00017302,1.73E-07,1.04E+14,0.25298,0.013308,0.14336,0.036241,0.012017,0.077218
0.00018194,1.82E-07,1.10E+14,0.26156,0.013972,0.14145,0.03536,0.011224,0.076353
0.00019098,1.91E-07,1.15E+14,0.26213,0.014994,0.14386,0.036312,0.010437,0.078782
0.00019981,2.00E-07,1.20E+14,0.26086,0.014182,0.14947,0.040045,0.011656,0.073996
0.00020914,2.09E-07,1.26E+14,0.26398,0.013324,0.14977,0.038515,0.012234,0.074106
0.0002187,2.19E-07,1.32E+14,0.27131,0.014501,0.14842,0.039707,0.011724,0.07714
0.00022798,2.28E-07,1.37E+14,0.26725,0.013624,0.1521,0.035931,0.011944,0.078201
0.00023719,2.37E-07,1.43E+14,0.25653,0.015339,0.14944,0.037329,0.01324,0.077135
0.00024574,2.46E-07,1.48E+14,0.27367,0.014489,0.16554,0.038359,0.011848,0.077164
0.00025433,2.54E-07,1.53E+14,0.27347,0.01333,0.16567,0.043457,0.011072,0.074142
0.00026366,2.64E-07,1.59E+14,0.27222,0.014987,0.16664,0.037944,0.012223,0.077617
0.00027227,2.72E-07,1.64E+14,0.26836,0.014411,0.15583,0.038053,0.0092728,0.073683
0.00028179,2.82E-07,1.70E+14,0.26258,0.014056,0.1554,0.04012,0.010694,0.076084
0.00029115,2.91E-07,1.75E+14,0.27077,0.014034,0.1614,0.034321,0.011813,0.074756
0.00030106,3.01E-07,1.81E+14,0.27348,0.014202,0.17579,0.043352,0.010367,0.070557
0.00031038,3.10E-07,1.87E+14,0.26631,0.012425,0.16514,0.038057,0.012029,0.0735
0.00031969,3.20E-07,1.93E+14,0.26823,0.01302,0.15334,0.042356,0.013238,0.073354
0.00032919,3.29E-07,1.98E+14,0.27479,0.012602,0.16743,0.042306,0.011836,0.073903
0.00033861,3.39E-07,2.04E+14,0.27375,0.01312,0.15864,0.043726,0.011367,0.070815
0.00034848,3.48E-07,2.10E+14,0.26729,0.013891,0.16279,0.043536,0.011155,0.067684
0.00035775,3.58E-07,2.16E+14,0.26868,0.013853,0.15379,0.037811,0.011835,0.069207
