BeamScreen,H2,CO,CH4,CO2,BeamScreen_Cold,H2,CO,CH4,CO2,,,NEG_after_machine_conditioning ,H2,CO,CH4,CO2,,Module,H2,CH4,CO,CO2,,,
Sticking Probability,1.00E-12,1.00E-12,1.00E-12,1.00E-12,Sticking Probability,1.00E-12,1.00E-12,1.00E-12,1.00E-12,,,Sticking Probability,5.00E-04,1.00E-12,1.00E-01,1.00E-01,,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,,,
Eta_i (molecules/ion),3.30E-02,3.30E-02,3.30E-02,3.30E-02,Eta_i (molecules/ion),3.30E-02,3.30E-02,3.30E-02,3.30E-02,,,Eta_i (molecules/ion),5.40E-02,5.40E-02,5.40E-02,5.40E-02,,eta_ion,0.542818964,0.541818964,0.541818964,0.541818964,,,
,2.00E-03,3.00E-03,4.00E-03,7.00E-03,,2.00E-03,3.00E-03,4.00E-03,7.00E-03,,,,4.00E-03,5.00E-03,7.00E-03,1.10E-02,,,0.036121264,0.055181896,0.072242528,0.108363793,,,
,1.50E-02,1.70E-02,1.70E-02,2.00E-02,,1.50E-02,1.70E-02,1.70E-02,2.00E-02,,,,2.50E-02,2.90E-02,2.90E-02,3.30E-02,,,0.25284885,0.288970114,0.289970114,0.325091378,,,
,9.00E-03,9.00E-03,9.00E-03,9.00E-03,,9.00E-03,9.00E-03,9.00E-03,9.00E-03,,,,1.40E-02,1.40E-02,1.40E-02,1.40E-02,,,0.144485057,0.144485057,0.144485057,0.145485057,,,
Eta_e (molecules/electron),9.70E-04,8.70E-06,4.20E-05,9.70E-05,Eta_e (molecules/electron),9.70E-04,8.70E-06,4.20E-05,9.70E-05,,,Eta_e (molecules/electron),3.30E-05,8.30E-07,1.70E-05,1.70E-05,,eta_e,0.001774173,6.46E-05,0.000452095,0.000387369,,,
Eta_Ph (molecules/photon),2.00E-05,1.40E-06,5.70E-06,2.00E-05,Eta_Ph (molecules/photon),2.00E-05,1.40E-06,5.70E-06,2.00E-05,,,Eta_Ph (molecules/photon),2.50E-07,2.50E-09,1.20E-08,1.20E-08,,eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05,,,
LinearPumping (L/s),0,42,32,26,LinearPumping (L/s),120,42,32,26,,,LinearPumping (L/s),0,0,0,0,,Cbs,0,0,0,0,,,
OutGassing Rate (Torrl/s cm2),1.00E-16,1.00E-16,1.00E-16,1.00E-16,OutGassing Rate (Torrl/s cm2),1.00E-16,1.00E-16,1.00E-16,1.00E-16,,,OutGassing Rate (Torrl/s cm2),5.00E-14,3.00E-17,1.00E-14,1.00E-14,,Qth,7.06E-12,3.53E-15,1.76E-14,1.76E-14,,,
Cold,H2,CO,CH4,CO2,,,,,,,,,,,,,,Module EWB,2.45E-11,7.16E-14,1.48E-13,2.77E-14,,,
Sticking Probability,1.00E-12,1.00E-12,1.00E-12,1.00E-12,,,,,,,,,,,,,,Module VIP,4.07E-12,2.04E-15,1.02E-14,1.02E-14,,,
Eta_i (molecules/ion),3.30E-02,3.30E-02,3.30E-02,3.30E-02,,,,,,,,,,,,,,Module SVT,2.83E-11,3.54E-15,1.77E-14,1.77E-14,,,
,2.00E-03,3.00E-03,4.00E-03,7.00E-03,,,,,,,,Collimator,H2,CH4,CO,CO2,DoubleModule_Collimator,H2,CH4,CO,CO2,,,,
,1.50E-02,1.70E-02,1.70E-02,2.00E-02,,,,,,,,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,,,,
