%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0
in_d = [,[mm],%,58,0,0,0,58,0,0,0,58,0,0,0,58,0,0,0,58,0,0,0,80,0,0,0,80,0,0,0,120,0,0,0,90,0,0,0,34,0,0,0,100,0,0,0,63,0,0,0,63,0,0,0,42.36,0,0,0,42.36,0,0,0,42.36,0,0,0
in_L = [,[mm],%,3650,0,0,0,639,0,0,0,4538,0,0,0,173,0,0,0,1807,0,0,0,2500,0,0,0,1206,0,0,0,4086,0,0,0,401,0,0,0,2130,0,0,0,95,0,0,0,390,0,0,0,565,0,0,0,478,0,0,0,7700,0,0,0,250,0,0,0
in_dist_ref = [,[mm],%,0,0,0,0,3650,0,0,0,4289,0,0,0,8827,0,0,0,9000,0,0,0,10807,0,0,0,13307,0,0,0,14513,0,0,0,18599,0,0,0,19000,0,0,0,21130,0,0,0,21225,0,0,0,21615,0,0,0,22180,0,0,0,22658,0,0,0,30358,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0
in_S = [,[l/s] (H2),%,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,[m2],%,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0
,,%,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0
,,%,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0
,,%,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22
in_alpha = [,,%,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.005,0,0,0,0.005,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,1.00E-10,0,0,0,0,0,0,0,1.00E-10,0,0,0,0,0,0,0,1.00E-10,0,0,0,1.00E-10,0,0,0,1.00E-10,0,0,0,1.00E-10,0,0,0,0,0,0,0,1.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
