DOSe/cm2,H2,CH4,CO,CO2
2.87E+12,0.05711,0.00162,0.01041,0.00782
1.28E+14,0.05494,0.00149,0.00987,0.00713
2.52E+14,0.04795,0.00128,0.00968,0.0066
3.76E+14,0.04364,0.00119,0.00927,0.00631
5.01E+14,0.04022,0.00112,0.00891,0.00602
6.20E+14,0.0375,0.00104,0.00864,0.0058
7.43E+14,0.03553,9.87E-04,0.00831,0.00563
8.66E+14,0.03356,9.50E-04,0.00813,0.00546
9.89E+14,0.03206,9.13E-04,0.00788,0.00528
1.11E+15,0.03098,8.51E-04,0.00774,0.00516
1.23E+15,0.02964,8.50E-04,0.00759,0.00508
1.35E+15,0.02858,8.26E-04,0.0074,0.00494
1.48E+15,0.02754,7.86E-04,0.00727,0.00485
1.60E+15,0.0268,7.54E-04,0.00714,0.00475
1.72E+15,0.02593,7.40E-04,0.00696,0.00471
1.84E+15,0.02521,7.30E-04,0.00691,0.00457
1.97E+15,0.02478,7.00E-04,0.0068,0.0045
2.09E+15,0.02409,6.70E-04,0.00667,0.00442
2.21E+15,0.02352,6.76E-04,0.0066,0.00438
2.34E+15,0.02298,6.40E-04,0.00656,0.00432
2.46E+15,0.02256,6.43E-04,0.00647,0.00423
2.58E+15,0.02192,6.39E-04,0.00638,0.00417
2.71E+15,0.02171,6.18E-04,0.00631,0.00415
2.83E+15,0.02112,6.10E-04,0.00618,0.0041
2.96E+15,0.02086,5.96E-04,0.00617,0.00402
3.08E+15,0.02046,5.91E-04,0.00614,0.004
3.20E+15,0.02018,5.66E-04,0.00606,0.00399
3.33E+15,0.01986,5.57E-04,0.00603,0.00388
3.45E+15,0.01955,5.54E-04,0.00589,0.00389
3.58E+15,0.01925,5.56E-04,0.00587,0.00386
3.70E+15,0.01903,5.45E-04,0.00582,0.00378
3.82E+15,0.01883,5.35E-04,0.0057,0.00377
3.95E+15,0.01863,5.28E-04,0.00574,0.00374
4.07E+15,0.01829,5.20E-04,0.00565,0.00372
