Dose [e/cm^2],SEY
8.03027E+14,3.125328435
1.11422E+15,3.123782322
1.53505E+15,3.072760607
2.12993E+15,3.071877114
2.93437E+15,3.020192779
4.04264E+15,2.93051825
5.60928E+15,2.875299943
7.72783E+15,2.735192694
1.06465E+16,2.682919364
1.46676E+16,2.57697384
2.03517E+16,2.487814681
2.80382E+16,2.367733271
3.86278E+16,2.277577728
5.35973E+16,2.154369735
7.38402E+16,2.064695205
1.02456E+17,1.994899266
1.41151E+17,1.938429345
1.94462E+17,1.90478299
2.69822E+17,1.872977246
3.7173E+17,1.853393153
5.12128E+17,1.835870544
7.10592E+17,1.8164337
9.78973E+17,1.819928405
1.34872E+18,1.817317193
1.87139E+18,1.8164337
2.57818E+18,1.834839802
