Dose [e/cm2'],SEY
8.03027E+14,1.485968088
1.11422E+15,1.466349637
1.53505E+15,1.465907891
2.12993E+15,1.45423106
2.93437E+15,1.45604222
4.04264E+15,1.444924934
5.60928E+15,1.434764766
7.72783E+15,1.417939135
1.06465E+16,1.405830374
1.46676E+16,1.385951783
2.03517E+16,1.375644366
2.80382E+16,1.360993109
3.86278E+16,1.336476181
5.35973E+16,1.302461704
7.38402E+16,1.271760326
1.02456E+17,1.237745849
1.41151E+17,1.206602724
1.95852E+17,1.200418274
2.71106E+17,1.176711214
3.74387E+17,1.15543376
5.14564E+17,1.144758221
7.05551E+17,1.140119883
9.78973E+17,1.13238932
1.34872E+18,1.124040312
1.87139E+18,1.115382082
2.57818E+18,1.108424575
3.68065E+18,1.0991479
