,,,Modulo penning,,,,Neg,,,,Modulo,,,,Neg,,,,Modulo + SVT,,,,Neg,,,,Modulo,,,,Neg,,,,Modulo penning,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0
in_d = [,[mm],%,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0
in_L = [,[mm],%,300,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,300,0,0,0
in_dist_ref = [,[mm],%,0,0,0,0,300,0,0,0,7300,0,0,0,7600,0,0,0,14600,0,0,0,14900,0,0,0,21900,0,0,0,22200,0,0,0,29200,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0
in_S = [,[l/s] (H2),%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,,%,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0,8.90E-23,0,0,0
,,%,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0
,,%,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0,0,0,5.50E-22,0
