X , H2, CH4, CO, CO2 
1e-09,5515828867.07,21126708209.6,40791503.4055,50986478.25
0.061216001,5516361035.74,21126603911.3,40791502.9986,50986478.0573
0.122432001,5517966446.73,21126291016.2,40791501.7895,50986477.4875
0.183648001,5520671963.91,21125769525.0,40791499.8134,50986476.566
0.244864001,5524522859.54,21125039438.2,40791497.1303,50986475.3356
0.306080001,5529583571.78,21124100756.7,40791493.8264,50986473.8586
0.367296001,5535938782.78,21122953481.8,40791490.0003,50986472.2036
0.428512001,5543694835.61,21121597614.8,40791485.806,50986470.4833
0.489728001,5552981513.48,21120033157.4,40791481.408,50986468.8145
0.550944001,5563954211.31,21118260111.2,40791477.0098,50986467.3432
0.612160001,5576796535.64,21116278478.1,40791472.8528,50986466.2425
0.673376001,5591723376.76,21114088260.1,40791469.211,50986465.7075
0.734592001,5608984504.06,21111689459.2,40791466.4199,50986465.9797
0.795808001,5628868745.16,21109082077.4,40791464.8541,50986467.3271
0.857024001,5651708818.42,21106266116.5,40791464.9491,50986470.0617
0.918240001,5677886899.86,21103241578.2,40791467.2055,50986474.542
0.979456001,5707841017.55,21100008464.1,40791472.1988,50986481.1808
1.040672001,5742072380.57,21096566775.1,40791480.5697,50986490.4346
1.101888001,5781153764.98,21092916511.9,40791493.0856,50986502.8558
1.163104001,5825739097.33,21089057674.5,40791510.5954,50986519.0515
1.224320001,5876574395.88,21084990262.2,40791534.0753,50986539.721
1.285536001,5934510252.65,21080714273.1,40791564.6394,50986565.6626
1.346752001,6000516065.23,21076229704.6,40791603.547,50986597.7768
1.407968001,6075696256.33,21071536552.2,40791652.2534,50986637.1076
1.469184001,6161308752.53,21066634810.3,40791712.4001,50986684.8304
1.530400001,6258786031.41,21061524471.0,40791785.8611,50986742.2873
1.591616001,6369759089.22,21056205524.3,40791874.7705,50986811.0072
1.652832001,6496084729.98,21050677957.5,40791981.5604,50986892.7326
1.714048001,6639876632.87,21044941754.9,40792108.9769,50986989.4274
1.775264001,6803540717.41,21038996897.3,40792260.1893,50987103.3655
1.836480001,6989815398.33,21032843361.1,40792438.7715,50987237.1053
1.897696001,7201817403.67,21026481118.2,40792648.8004,50987393.5672
1.958912001,7443093922.6,21019910134.8,40792894.9177,50987576.0761
2.020128001,7717681955.56,21013130370.9,40793182.393,50987788.4048
2.081344001,8030175859.75,21006141779.2,40793517.2485,50988034.869
2.142560001,8385804220.07,20998944304.0,40793906.3183,50988320.3631
2.203776001,8790517331.68,20991537879.9,40794357.3856,50988650.4621
2.264992001,9251086758.0,20983922430.8,40794879.3084,50989031.5107
2.326208001,9775218629.74,20976097867.9,40795482.1599,50989470.7234
2.387424001,10371682580.8,20968064088.0,40796177.4183,50989976.3228
2.448640001,11050458478.4,20959820971.4,40796978.1351,50990557.6569
2.509856001,11822903402.0,20951368379.9,40797899.169,50991225.3683
2.571072001,12701941665.5,20942706153.6,40798957.4393,50991991.5748
2.632288001,13702281061.6,20933834108.4,40800172.2378,50992870.0904
2.693504001,14840658947.1,20924752032.1,40801565.6337,50993876.7033
2.754720001,16136122284.9,20915459680.8,40803163.25,50995029.7071
2.815936001,17610346330.8,20905956774.3,40804995.9614,50996350.9882
2.877152001,19287997294.9,20896242991.1,40807105.2472,50997869.4291
2.938368001,21197145046.8,20886317962.4,40809561.3934,50999632.3573
2.999584001,23369732769.4,20876181266.0,40812528.4515,51001746.2888
3.060800001,25842111419.4,20865832418.1,40816499.3652,51004524.2827
3.122016001,28655647936.9,20855270865.6,40823150.5226,51009021.3045
3.183232001,31857417380.6,20844495975.7,40838452.5078,51018982.9148
3.244448001,35500990568.4,20833507025.3,40883998.3682,51047941.4984
3.305664001,39647330402.9,20822303188.0,41038263.114,51145061.7403
3.366880001,44365811876.5,20810883519.2,41586884.3051,51489278.0968
3.428096001,49735382820.9,20799246937.7,43570040.655,52732178.9651
3.489312001,55845884812.9,20787392198.5,50776219.0953,57246925.4868
3.550528001,62799556301.1,20775317841.0,77004305.3078,73677312.1817
