"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,4.828868634e+11,1e-06,7043637964,1e-06,7996021844,1e-06,4908924450,
13.375,5.31669349e+11,13.375,2.082593363e+10,13.375,4.416394372e+10,13.375,2.744021702e+10,
14.5125,5.413408455e+11,14.5125,2.39067517e+10,14.5125,5.161255571e+10,14.5125,3.193167741e+10,
15.65,5.532658458e+11,15.65,2.776570604e+10,15.65,6.084243685e+10,15.65,3.746902916e+10,
16.7875,5.684128291e+11,16.7875,3.273174104e+10,16.7875,7.261297552e+10,16.7875,4.44982886e+10,
17.925,5.884251011e+11,17.925,3.936018853e+10,17.925,8.820948367e+10,17.925,5.377436971e+10,
19.0625,6.163649292e+11,19.0625,4.867957684e+10,19.0625,1.100201336e+11,19.0625,6.669994565e+10,
20.2,6.587935411e+11,20.2,6.287661161e+10,20.2,1.431436125e+11,20.2,8.626969691e+10,
21.3375,7.335562355e+11,21.3375,8.783604356e+10,21.3375,2.013817012e+11,21.3375,1.205900165e+11,
22.475,9.284413425e+11,22.475,1.51990668e+11,22.475,3.520750737e+11,22.475,2.092129898e+11,
23.6125,1.994208768e+13,23.6125,6.261606706e+12,23.6125,1.49032996e+13,23.6125,8.755816669e+12,
