X , H2, CH4, CO, CO2 
1e-09,5509770531.75,20584476341.7,40672746.1683,50911756.9808
0.061216001,5510302187.43,20584386066.6,40672746.0387,50911756.9308
0.122432001,5511906050.66,20584115241.4,40672745.6556,50911756.7848
0.183648001,5514608958.84,20583663866.3,40672745.037,50911756.556
0.244864001,5518456139.64,20583031941.5,40672744.213,50911756.2673
0.306080001,5523511967.76,20582219467.3,40672743.229,50911755.9553
0.367296001,5529861042.05,20581226444.2,40672742.1226,50911755.6217
0.428512001,5537609601.07,20580052872.6,40672740.9846,50911755.3623
0.489728001,5546887300.64,20578698753.2,40672739.8922,50911755.2213
0.550944001,5557849383.34,20577164086.5,40672738.9473,50911755.2724
0.612160001,5570679276.0,20575448873.2,40672738.2716,50911755.6053
0.673376001,5585591658.87,20573553113.9,40672737.9955,50911756.2986
0.734592001,5602836057.71,20571476809.3,40672738.2944,50911757.4957
0.795808001,5622701018.87,20569219959.9,40672739.3526,50911759.3224
0.857024001,5645518937.36,20566782566.2,40672741.3878,50911761.9349
0.918240001,5671671618.52,20564164628.7,40672744.6507,50911765.5143
0.979456001,5701596666.48,20561366147.5,40672749.4311,50911770.2734
1.040672001,5735794806.26,20558387122.7,40672756.0352,50911776.4003
1.101888001,5774838262.02,20555227553.9,40672764.8632,50911784.2196
1.163104001,5819380331.6,20551887440.6,40672776.3329,50911794.0168
1.224320001,5870166317.72,20548366781.8,40672790.9324,50911806.1425
1.285536001,5928045998.45,20544665575.8,40672809.2197,50911820.9993
1.346752001,5993987845.99,20540783820.6,40672831.8156,50911839.0139
1.407968001,6069095231.29,20536721513.2,40672859.4568,50911860.7359
1.469184001,6154624885.91,20532478650.1,40672892.96,50911886.7423
1.530400001,6252007929.98,20528055226.5,40672933.2613,50911917.7042
1.591616001,6362873817.96,20523451236.4,40672981.4278,50911954.3875
1.652832001,6489077603.06,20518666672.8,40673038.677,50911997.6711
1.714048001,6632730976.41,20513701526.9,40673106.3638,50912048.487
1.775264001,6796237600.35,20508555787.9,40673186.0922,50912108.0304
1.836480001,6982333327.01,20503229443.3,40673279.6398,50912177.5582
1.897696001,7194131975.24,20497722477.8,40673389.0438,50912258.5304
1.958912001,7435177431.69,20492034873.7,40673516.6247,50912352.6128
2.020128001,7709502947.93,20486166609.7,40673665.0049,50912461.6616
2.081344001,8021698625.71,20480117661.2,40673837.2049,50912587.8674
2.142560001,8376988219.53,20473887999.1,40674036.6343,50912733.6626
2.203776001,8781316541.73,20467477589.6,40674267.1816,50912901.833
2.264992001,9241448932.35,20460886393.3,40674533.2728,50913095.5511
2.326208001,9765084458.35,20454114364.8,40674839.9345,50913318.4043
2.387424001,10360984736.1,20447161451.0,40675192.9076,50913574.5204
2.448640001,11039120532.7,20440027591.0,40675598.7103,50913868.5625
2.509856001,11810838599.0,20432712714.1,40676064.7675,50914205.8487
2.571072001,12689051526.1,20425216739.3,40676599.5386,50914592.4385
2.632288001,13688453801.6,20417539573.0,40677212.6871,50915035.2537
2.693504001,14825767681.1,20409681107.8,40677915.3136,50915542.2013
2.754720001,16120022988.7,20401641220.3,40678720.5514,50916122.6609
2.815936001,17592875528.1,20393419768.9,40679644.979,50916788.275
2.877152001,19268969432.6,20385016591.6,40680713.5418,50917556.1086
2.938368001,21176349516.1,20376431502.4,40681976.7373,50918459.4085
2.999584001,23346930524.9,20367664288.7,40683572.5466,50919586.3333
3.060800001,25817031142.9,20358714707.2,40685951.3333,50921220.666
3.122016001,28627981683.5,20349582479.9,40690693.9744,50924353.3417
3.183232001,31826815637.7,20340267288.9,40703491.0113,50932545.3146
3.244448001,35467056648.8,20330768771.0,40744992.7581,50958711.9059
3.305664001,39609614081.9,20321086511.8,40890328.693,51049833.3798
