"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,1.983749335e+12,1e-06,3.669062996e+12,1e-06,4.489337432e+12,1e-06,5.396682643e+12,
1,1.983749335e+12,1,3.669062996e+12,1,4.489337432e+12,1,5.396682643e+12,
5.9,1.992874113e+12,5.9,3.89508654e+12,5.9,4.780985607e+12,5.9,6.089524021e+12,
10.8,2.002082317e+12,10.8,4.150168731e+12,10.8,5.112247343e+12,10.8,6.981267611e+12,
15.7,2.011375095e+12,15.7,4.44028495e+12,15.7,5.491759561e+12,15.7,8.171636161e+12,
20.6,2.020753618e+12,20.6,4.77316906e+12,20.6,5.930866071e+12,20.6,9.840370778e+12,
25.5,2.030219076e+12,25.5,5.15901164e+12,25.5,6.444768152e+12,25.5,1.234762832e+13,
30.4,2.039772682e+12,30.4,5.611519613e+12,30.4,7.054316525e+12,30.4,1.653617676e+13,
35.3,2.049415674e+12,35.3,6.14957609e+12,35.3,7.788904602e+12,35.3,2.494698737e+13,
40.2,2.05914931e+12,40.2,6.799938442e+12,40.2,8.691342681e+12,40.2,5.043879702e+13,
42.65,2.064050519e+12,42.65,7.17881474e+12,42.65,9.224550274e+12,42.65,1.026016869e+14,
