x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
1e-09,3.927157024,1e-09,4.220148905,1e-09,4.28725121,1e-09,4.551148165,1e-09,5.039236462,
0.012000001,3.955039377,0.012000001,4.250957967,0.012000001,4.318766618,0.012000001,4.585036784,0.012000001,5.075436522,
0.024000001,3.981045279,0.024000001,4.279602827,0.024000001,4.34803702,0.024000001,4.616388333,0.024000001,5.108789901,
0.036000001,4.005398387,0.036000001,4.306357618,0.036000001,4.375351442,0.036000001,4.645547754,0.036000001,5.139704067,
0.048000001,4.028284268,0.048000001,4.331447215,0.048000001,4.400946171,0.048000001,4.672793724,0.048000001,5.168504356,
0.060000001,4.049858783,0.060000001,4.355058373,0.060000001,4.42501685,0.060000001,4.698354605,0.060000001,5.195454656,
0.072000001,4.070254335,0.072000001,4.377347882,0.072000001,4.447727295,0.072000001,4.722419877,0.072000001,5.220771972,
0.084000001,4.089583935,0.084000001,4.398448654,0.084000001,4.469216045,0.084000001,4.745148487,0.084000001,5.244636909,
0.096000001,4.10794505,0.096000001,4.418474332,0.096000001,4.489601306,0.096000001,4.766675076,0.096000001,5.267201387,
0.108000001,4.125422277,0.108000001,4.437522848,0.108000001,4.508984743,0.108000001,4.787114695,0.108000001,5.288594408,
0.120000001,4.142089531,0.120000001,4.455679188,0.120000001,4.527454431,0.120000001,4.806566429,0.120000001,5.308926443,
0.132000001,4.158011809,0.132000001,4.473017577,0.132000001,4.545087171,0.132000001,4.825116221,0.132000001,5.328292823,
0.144000001,4.173246395,0.144000001,4.489603221,0.144000001,4.561950336,0.144000001,4.842839093,0.144000001,5.346776381,
0.156000001,4.187844224,0.156000001,4.505493713,0.156000001,4.57810335,0.156000001,4.859800927,0.156000001,5.364449549,
0.168000001,4.20185077,0.168000001,4.520740169,0.168000001,4.593598896,0.168000001,4.876059886,0.168000001,5.381376021,
0.180000001,4.215306657,0.180000001,4.535388168,0.180000001,4.608483889,0.180000001,4.891667575,0.180000001,5.397612113,
0.192000001,4.228248443,0.192000001,4.549478518,0.192000001,4.622800299,0.192000001,4.906669993,0.192000001,5.413207853,
0.204000001,4.24070913,0.204000001,4.563047903,0.204000001,4.63658581,0.204000001,4.921108313,0.204000001,5.428207886,
0.216000001,4.252718548,0.216000001,4.576129418,0.216000001,4.649874392,0.216000001,4.935019534,0.216000001,5.442652218,
0.228000001,4.264303827,0.228000001,4.588753022,0.228000001,4.66269677,0.228000001,4.948437029,0.228000001,5.456576835,
0.240000001,4.275489704,0.240000001,4.600945923,0.240000001,4.675080823,0.240000001,4.961390999,0.240000001,5.470014228,
0.252000001,4.286298728,0.252000001,4.612732899,0.252000001,4.687051927,0.252000001,4.973908866,0.252000001,5.482993827,
0.264000001,4.296751552,0.264000001,4.624136585,0.264000001,4.698633242,0.264000001,4.986015599,0.264000001,5.495542374,
0.276000001,4.306867182,0.276000001,4.63517771,0.276000001,4.709845964,0.276000001,4.997734003,0.276000001,5.507684241,
0.288000001,4.316663069,0.288000001,4.645875302,0.288000001,4.720709541,0.288000001,5.009084956,0.288000001,5.519441702,
0.300000001,4.326155268,0.300000001,4.656246873,0.300000001,4.731241858,0.300000001,5.020087623,0.300000001,5.530835163,
0.312000001,4.335358767,0.312000001,4.666308573,0.312000001,4.741459401,0.312000001,5.030759638,0.312000001,5.541883371,
0.324000001,4.344287272,0.324000001,4.676075325,0.324000001,4.751377398,0.324000001,5.041117259,0.324000001,5.552603582,
0.336000001,4.352953599,0.336000001,4.685560951,0.336000001,4.761009943,0.336000001,5.051175511,0.336000001,5.56301172,
0.348000001,4.361369636,0.348000001,4.694778272,0.348000001,4.770370104,0.348000001,5.060948305,0.348000001,5.573122504,
0.360000001,4.36954644,0.360000001,4.703739207,0.360000001,4.779470025,0.360000001,5.070448546,0.360000001,5.582949574,
0.372000001,4.377494362,0.372000001,4.71245485,0.372000001,4.788321004,0.372000001,5.079688226,0.372000001,5.592505587,
0.384000001,4.385223015,0.384000001,4.720935548,0.384000001,4.796933575,0.384000001,5.088678508,0.384000001,5.601802312,
0.396000001,4.392741418,0.396000001,4.729190962,0.396000001,4.805317568,0.396000001,5.097429801,0.396000001,5.610850708,
0.408000001,4.400058031,0.408000001,4.737230131,0.408000001,4.81348218,0.408000001,5.105951826,0.408000001,5.619661,
0.420000001,4.407180762,0.420000001,4.74506152,0.420000001,4.821436017,0.420000001,5.114253675,0.420000001,5.628242741,
0.432000001,4.414117049,0.432000001,4.752693068,0.432000001,4.82918715,0.432000001,5.122343861,0.432000001,5.636604868,
0.444000001,4.420873915,0.444000001,4.760132233,0.444000001,4.836743158,0.444000001,5.130230371,0.444000001,5.644755753,
0.456000001,4.427457908,0.456000001,4.767386024,0.456000001,4.844111162,0.456000001,5.137920701,0.456000001,5.652703253,
0.468000001,4.433875253,0.468000001,4.774461042,0.468000001,4.851297865,0.468000001,5.145421903,0.468000001,5.660454748,
0.480000001,4.44013183,0.480000001,4.781363507,0.480000001,4.858309582,0.480000001,5.152740612,0.480000001,5.668017178,
0.492000001,4.446233143,0.492000001,4.788099286,0.492000001,4.86515227,0.492000001,5.159883082,0.492000001,5.675397079,
0.504000001,4.452184392,0.504000001,4.794673922,0.504000001,4.871831554,0.504000001,5.166855213,0.504000001,5.682600612,
0.516000001,4.457990593,0.516000001,4.801092654,0.516000001,4.878352748,0.516000001,5.173662576,0.516000001,5.68963359,
0.528000001,4.463656396,0.528000001,4.807360441,0.528000001,4.884720882,0.528000001,5.18031044,0.528000001,5.696501506,
0.540000001,4.469186231,0.540000001,4.813481978,0.540000001,4.890940718,0.540000001,5.186803786,0.540000001,5.703209553,
0.552000001,4.474584336,0.552000001,4.819461718,0.552000001,4.89701677,0.552000001,5.193147337,0.552000001,5.709762647,
0.564000001,4.479854726,0.564000001,4.825303883,0.564000001,4.902953318,0.564000001,5.199345565,0.564000001,5.716165444,
0.576000001,4.485001163,0.576000001,4.831012486,0.576000001,4.908754427,0.576000001,5.205402717,0.576000001,5.72242236,
0.588000001,4.490027321,0.588000001,4.836591337,0.588000001,4.91442396,0.588000001,5.211322823,0.588000001,5.728537584,
0.600000001,4.494936587,0.600000001,4.842044062,0.600000001,4.919965589,0.600000001,5.217109713,0.600000001,5.734515096,
0.612000001,4.499732278,0.612000001,4.84737411,0.612000001,4.925382807,0.612000001,5.22276703,0.612000001,5.740358678,
0.624000001,4.504417522,0.624000001,4.852584767,0.624000001,4.930678942,0.624000001,5.228298241,0.624000001,5.746071928,
