X , H2, CH4, CO, CO2 
1e-09,-14733431.3648,202879.184403,208933.89952,212986.794247
0.012000001,-15017221.6646,213903.529275,223935.755861,232156.009282
0.024000001,-15301011.6483,224928.765914,238938.790549,251326.701347
0.036000001,-15584801.3203,235954.881961,253942.987253,270498.849969
0.048000001,-15868590.6849,246981.865053,268948.329633,289672.434671
0.060000001,-16152379.7465,258009.702819,283954.801347,308847.434964
0.072000001,-16436168.5096,269038.382886,298962.386045,328023.830354
0.084000001,-16719956.9784,280067.892875,313971.067368,347201.600339
0.096000001,-17003745.1575,291098.220405,328980.828957,366380.724409
0.108000001,-17287533.0511,302129.353087,343991.654443,385561.182049
0.120000001,-17571320.6638,313161.27853,359003.527451,404742.952733
0.132000001,-17855107.9997,324193.984338,374016.431604,423926.015931
0.144000001,-18138895.0635,335227.458112,389030.350515,443110.351104
0.156000001,-18422681.8594,346261.687446,404045.267796,462295.937708
0.168000001,-18706468.3919,357296.659934,419061.167048,481482.755191
0.180000001,-18990254.6654,368332.363162,434078.031873,500670.782994
0.192000001,7468268.35499,-475586.595312,-680607.53736,-896197.134666
0.204000001,7184482.5864,-464549.467855,-665588.790615,-877006.747921
0.216000001,6900697.06364,-453511.646917,-650569.127533,-857815.21257
0.228000001,6616911.7823,-442473.144926,-635548.564534,-838622.549195
0.240000001,6333126.73797,-431433.974313,-620527.118044,-819428.778386
0.252000001,6049341.92625,-420394.147514,-605504.804496,-800233.92074
0.264000001,5765557.34273,-409353.676966,-590481.640323,-781037.996857
0.276000001,5481772.983,-398312.575111,-575457.641966,-761841.027345
0.288000001,5197988.84264,-387270.854395,-560432.825871,-742643.032818
0.300000001,4914204.91725,-376228.527266,-545407.208486,-723444.033893
0.312000001,4630421.20241,-365185.606176,-530380.806264,-704244.051195
0.324000001,4346637.6937,-354142.10358,-515353.635664,-685043.105352
0.336000001,4062854.38671,-343098.031936,-500325.713146,-665841.217
0.348000001,3779071.27702,-332053.403707,-485297.055177,-646638.406778
0.360000001,3495288.36021,-321008.231355,-470267.678227,-627434.695331
0.372000001,3211505.63187,-309962.527348,-455237.598769,-608230.103307
0.384000001,12680626.1784,-610717.999084,-852208.423877,-1105460.10857
0.396000001,12396843.8137,-599671.26918,-837176.98884,-1086253.81736
0.408000001,12113061.6242,-588624.045041,-822144.900739,-1067046.70755
0.420000001,11829279.6055,-577576.339143,-807112.176061,-1047838.7998
0.432000001,11545497.7532,-566528.163968,-792078.8313,-1028630.1148
0.444000001,11261716.0627,-555479.532,-777044.882949,-1009420.67321
0.456000001,10977934.5298,-544430.455724,-762010.347508,-990210.495724
0.468000001,10694153.1499,-533380.947628,-746975.241477,-970999.603013
0.480000001,10410371.9187,-522331.020203,-731939.581361,-951788.015771
0.492000001,10126590.8317,-511280.685942,-716903.383668,-932575.754688
0.504000001,9842809.88454,-500229.95734,-701866.664909,-913362.840462
0.516000001,9559029.07269,-489178.846894,-686829.441596,-894149.293789
0.528000001,9275248.39176,-478127.367103,-671791.730245,-874935.135374
0.540000001,8991467.83734,-467075.530468,-656753.547375,-855720.385921
0.552000001,8707687.40497,-456023.349494,-641714.909508,-836505.066139
0.564000001,14029022.7727,-624167.1877,-863457.968233,-1114091.34384
0.576000001,13745242.5712,-613114.355562,-848418.469943,-1094874.94554
0.588000001,13461462.4784,-602061.216603,-833378.566234,-1075658.03905
0.600000001,13177682.49,-591007.783334,-818338.273635,-1056440.64511
0.612000001,12893902.6014,-579954.068267,-803297.608679,-1037222.78442
0.624000001,12610122.8083,-568900.083916,-788256.5879,-1018004.47772
0.636000001,12326343.1062,-557845.842794,-773215.227836,-998785.745727
0.648000001,12042563.4908,-546791.357418,-758173.545024,-979566.609181
0.660000001,11758783.9574,-535736.640305,-743131.556004,-960347.088812
