x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
4,3.11E-11,4,3.11E-11,4,2.52E-05,4,2.52E-05,4,0.000275994
6,3.15E-11,6,3.15E-11,6,2.75E-05,6,2.75E-05,6,0.000301993
8,3.34E-11,8,3.34E-11,8,3.28E-05,8,3.28E-05,8,0.000360073
10,3.90E-11,10,3.90E-11,10,4.18E-05,10,4.18E-05,10,0.000458099
15,4.34E-09,15,4.34E-09,15,6.88E-05,15,6.88E-05,15,0.000754261
20,4.91E-07,20,4.91E-07,20,9.47E-05,20,9.47E-05,20,0.001038727
25,1.00E-06,25,1.00E-06,25,0.000121617,25,0.000121617,25,0.001333617
30,1.44E-06,30,1.44E-06,30,0.00014797,30,0.00014797,30,0.0016226
35,1.79E-06,35,1.79E-06,35,0.000171849,35,0.000171849,35,0.001884455
40,2.00E-06,40,2.00E-06,40,0.000188227,40,0.000188227,40,0.002064047
45,2.08E-06,45,2.08E-06,45,0.000195569,45,0.000195569,45,0.002144559
50,2.07E-06,50,2.07E-06,50,0.000193422,50,0.000193422,50,0.002121015
