X , H2, CH4, CO, CO2 
1e-09,2069.50097375,1955.76886446,1931.5255136,1931.81850296
0.012000001,2109.22298625,2061.64389267,2069.68416486,2105.02238884
0.024000001,2148.66494196,2166.72672839,2206.79648173,2276.91260239
0.036000001,2187.82683849,2271.01724367,2342.86227341,2447.48867586
0.048000001,2226.70867348,2374.51531149,2477.88135055,2616.7501451
0.060000001,2265.31044458,2477.22080582,2611.85352527,2784.69654953
0.072000001,2303.63214945,2579.13360158,2744.77861113,2951.32743215
0.084000001,2341.67378578,2680.25357466,2876.65642315,3116.64233954
0.096000001,2379.43535127,2780.58060191,3007.48677782,3280.64082185
0.108000001,2416.91684365,2880.11456115,3137.26949308,3443.32243283
0.120000001,2454.11826065,2978.85533118,3266.00438833,3604.68672981
0.132000001,2491.03960001,3076.80279174,3393.69128442,3764.73327368
0.144000001,2527.68085951,3173.95682355,3520.33000366,3923.46162896
0.156000001,2564.04203694,3270.3173083,3645.92036983,4080.87136371
0.168000001,2600.1231301,3365.88412864,3770.46220817,4236.96204961
0.180000001,2635.92413681,3460.65716819,3893.95534535,4391.73326192
0.192000001,2671.4450549,3554.63631152,4016.39960954,4545.18457948
0.204000001,2706.68588224,3647.8214442,4137.79483033,4697.31558475
0.216000001,2741.64661669,3740.21245274,4258.14083881,4848.12586375
0.228000001,2776.32725614,3831.80922462,4377.4374675,4997.61500611
0.240000001,2810.72779849,3922.6116483,4495.68455038,5145.78260505
0.252000001,2844.84824167,4012.6196132,4612.88192292,5292.6282574
0.264000001,2878.68858362,4101.8330097,4729.02942202,5438.15156357
0.276000001,2912.24882229,4190.25172917,4844.12688605,5582.35212757
0.288000001,2945.52895565,4277.87566391,4958.17415485,5725.22955702
0.300000001,2978.5289817,4364.70470724,5071.17106971,5866.78346313
0.312000001,3011.24889844,4450.73875339,5183.11747339,6007.01346071
0.324000001,3043.68870389,4535.9776976,5294.01321011,6145.91916819
0.336000001,3075.84839609,4620.42143607,5403.85812554,6283.50020759
0.348000001,3107.72797311,4704.06986595,5512.65206683,6419.75620453
0.360000001,3139.32743301,4786.92288539,5620.39488259,6554.68678825
0.372000001,3170.64677389,4868.98039348,5727.08642288,6688.29159158
0.384000001,3201.68599385,4950.24229028,5832.72653923,6820.57025097
0.396000001,3232.44509102,5030.70847685,5937.31508464,6951.52240647
0.408000001,3262.92406355,5110.37885518,6040.85191356,7081.14770175
0.420000001,3293.12290958,5189.25332826,6143.33688192,7209.44578408
0.432000001,3323.0416273,5267.33180002,6244.7698471,7336.41630435
0.444000001,3352.68021489,5344.61417539,6345.15066795,7462.05891706
0.456000001,3382.03867058,5421.10036025,6444.47920477,7586.37328032
0.468000001,3411.11699258,5496.79026145,6542.75531936,7709.35905585
0.480000001,3439.91517913,5571.68378682,6639.97887494,7831.01590901
0.492000001,3468.43322851,5645.78084515,6736.14973623,7951.34350873
0.504000001,3496.67113898,5719.0813462,6831.2677694,8070.34152761
0.516000001,3524.62890883,5791.58520072,6925.33284207,8188.00964183
0.528000001,3552.30653639,5863.29232039,7018.34482337,8304.3475312
0.540000001,3579.70401998,5934.20261791,7110.30358384,8419.35487916
0.552000001,3606.82135794,6004.31600691,7201.20899553,8533.03137276
0.564000001,3633.65854864,6073.632402,7291.06093193,8645.37670267
0.576000001,3660.21559045,6142.15171878,7379.859268,8756.39056318
0.588000001,3686.49248177,6209.87387379,7467.60388018,8866.07265222
0.600000001,3712.48922101,6276.79878458,7554.29464637,8974.42267133
0.612000001,3738.2058066,6342.92636963,7639.93144592,9081.44032566
0.624000001,3763.64223699,6408.25654841,7724.51415967,9187.12532403
0.636000001,3788.79851065,6472.78924137,7808.04266992,9291.47737884
0.648000001,3813.67462604,6536.52436991,7890.51686042,9394.49620615
0.660000001,3838.27058167,6599.46185643,7971.93661641,9496.18152562
0.672000001,3862.58637606,6661.60162426,8052.30182459,9596.53306056
0.684000001,3886.62200773,6722.94359775,8131.61237312,9695.5505379
0.696000001,3910.37747524,6783.48770218,8209.86815164,9793.2336882
0.708000001,3933.85277714,6843.23386382,8287.06905124,9889.58224566
0.720000001,3957.04791202,6902.18200992,8363.2149645,9984.59594809
0.732000001,3979.96287848,6960.33206868,8438.30578546,10078.274537
0.744000001,4002.59767513,7017.6839693,8512.34140961,10170.6177574
0.756000001,4024.95230061,7074.23764193,8585.32173394,10261.625358
0.768000001,4047.02675356,7129.99301769,8657.24665689,10351.2970913
0.780000001,4068.82103266,7184.95002869,8728.11607836,10439.6327131
0.792000001,4090.33513658,7239.108608,8797.92989974,10526.6319832
0.804000001,4111.56906403,7292.46868966,8866.68802388,10612.2946648
0.816000001,4132.52281372,7345.03020869,8934.39035509,10696.6205248
