x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
1e-09,3.795640279,1e-09,3.795640279,1e-09,3.948701586,1e-09,4.081853425,1e-09,4.88212695,
0.012000001,3.831256367,0.012000001,3.831256367,0.012000001,3.97660529,0.012000001,4.109869653,0.012000001,4.910437028,
0.024000001,3.863917956,0.024000001,3.863917956,0.024000001,4.002637106,0.024000001,4.136037702,0.024000001,4.93695389,
0.036000001,3.894057324,0.036000001,3.894057324,0.036000001,4.027019671,0.036000001,4.160575666,0.036000001,4.961885058,
0.048000001,3.922018113,0.048000001,3.922018113,0.048000001,4.04993799,0.048000001,4.183665,0.048000001,4.985403705,
0.060000001,3.948078037,0.060000001,3.948078037,0.060000001,4.071547465,0.060000001,4.20545829,0.060000001,5.007655839,
0.072000001,3.972464717,0.072000001,3.972464717,0.072000001,4.091979895,0.072000001,4.226085074,0.072000001,5.028765701,
0.084000001,3.995367026,0.084000001,3.995367026,0.084000001,4.111348021,0.084000001,4.245656254,0.084000001,5.048839892,
0.096000001,4.016943436,0.096000001,4.016943436,0.096000001,4.129749031,0.096000001,4.264267514,0.096000001,5.067970555,
0.108000001,4.037328192,0.108000001,4.037328192,0.108000001,4.147267296,0.108000001,4.282001974,0.108000001,5.08623788,
0.120000001,4.056636056,0.120000001,4.056636056,0.120000001,4.163976527,0.120000001,4.298932303,0.120000001,5.103712084,
0.132000001,4.074965836,0.132000001,4.074965836,0.132000001,4.179941498,0.132000001,4.315122397,0.132000001,5.120454999,
0.144000001,4.092403252,0.144000001,4.092403252,0.144000001,4.195219434,0.144000001,4.330628735,0.144000001,5.136521355,
0.156000001,4.109023161,0.156000001,4.109023161,0.156000001,4.209861137,0.156000001,4.345501486,0.156000001,5.151959827,
0.168000001,4.124891253,0.168000001,4.124891253,0.168000001,4.223911916,0.168000001,4.359785412,0.168000001,5.166813897,
0.180000001,4.140065557,0.180000001,4.140065557,0.180000001,4.237412348,0.180000001,4.37352062,0.180000001,5.181122566,
0.192000001,4.171403688,0.192000001,4.171403688,0.192000001,4.250398894,0.192000001,4.386743182,0.192000001,5.194920948,
0.204000001,4.184818399,0.204000001,4.184818399,0.204000001,4.262904511,0.204000001,4.399485658,0.204000001,5.20824077,
0.216000001,4.197713454,0.216000001,4.197713454,0.216000001,4.274958983,0.216000001,4.411777543,0.216000001,5.221110795,
0.228000001,4.210122285,0.228000001,4.210122285,0.228000001,4.28658938,0.228000001,4.42364563,0.228000001,5.233557177,
0.240000001,4.222075139,0.240000001,4.222075139,0.240000001,4.297820361,0.240000001,4.435114337,0.240000001,5.245603769,
0.252000001,4.233599468,0.252000001,4.233599468,0.252000001,4.308674453,0.252000001,4.446205978,0.252000001,5.257272384,
0.264000001,4.244720267,0.264000001,4.244720267,0.264000001,4.319172289,0.264000001,4.456940992,0.264000001,5.26858302,
0.276000001,4.255460366,0.276000001,4.255460366,0.276000001,4.329332811,0.276000001,4.467338153,0.276000001,5.279554057,
0.288000001,4.265840675,0.288000001,4.265840675,0.288000001,4.339173454,0.288000001,4.477414745,0.288000001,5.290202424,
0.300000001,4.275880358,0.300000001,4.275880358,0.300000001,4.348710299,0.300000001,4.487186709,0.300000001,5.300543752,
0.312000001,4.285597061,0.312000001,4.285597061,0.312000001,4.357958207,0.312000001,4.496668785,0.312000001,5.310592496,
0.324000001,4.295007055,0.324000001,4.295007055,0.324000001,4.366930943,0.324000001,4.505874628,0.324000001,5.320362058,
0.336000001,4.304125374,0.336000001,4.304125374,0.336000001,4.375641278,0.336000001,4.514816906,0.336000001,5.329864879,
0.348000001,4.312965922,0.348000001,4.312965922,0.348000001,4.384101082,0.348000001,4.523507401,0.348000001,5.339112532,
0.360000001,4.321541614,0.360000001,4.321541614,0.360000001,4.392321408,0.360000001,4.531957082,0.360000001,5.348115801,
0.372000001,4.329864429,0.372000001,4.329864429,0.372000001,4.400312562,0.372000001,4.540176181,0.372000001,5.35688475,
0.384000001,4.349034195,0.384000001,4.349034195,0.384000001,4.408084161,0.384000001,4.548174257,0.384000001,5.365428783,
0.396000001,4.356687839,0.396000001,4.356687839,0.396000001,4.415645233,0.396000001,4.555960251,0.396000001,5.373756704,
0.408000001,4.364128714,0.408000001,4.364128714,0.408000001,4.423004201,0.408000001,4.563542542,0.408000001,5.381876764,
0.420000001,4.371365345,0.420000001,4.371365345,0.420000001,4.430168978,0.420000001,4.57092899,0.420000001,5.389796707,
0.432000001,4.378405746,0.432000001,4.378405746,0.432000001,4.437146994,0.432000001,4.578126977,0.432000001,5.39752381,
0.444000001,4.385257414,0.444000001,4.385257414,0.444000001,4.443945236,0.444000001,4.585143446,0.444000001,5.405064921,
0.456000001,4.391927413,0.456000001,4.391927413,0.456000001,4.450570283,0.456000001,4.591984933,0.456000001,5.412426487,
