

Critical Current 	   22.7 [A] 
Maximum density 	 6.406e+011 [molecules/m3]
Average density at 1.000 [A] in [molecules/m3] 	 H2 :	 2.60e+010, CH4:	 2.73e+010, CO :	 1.39e+008, CO2:	 1.21e+008 
Average density at Ib=0 in [molecules/m3] 	 H2 :	 2.59e+010, CH4:	 2.60e+010, CO :	 1.31e+008, CO2:	 1.16e+008 
Total Length [m] 	  H2 density at zero current [molecules/m3]	 CH4 density at zero current [molecules/m3]	 CO density at zero current [molecules/m3]	 CO2 density at zero current [molecules/m3]	 H2 density at Set Current [molecules/m3]	 CH4 density at Set Current [molecules/m3]	 CO density at Set Current [molecules/m3]	 CO2 density at Set Current [molecules/m3]	
    0 	 7.2875e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3031e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.009311 	 7.2875e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3032e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.01862 	 7.2875e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3032e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.02793 	 7.2876e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3033e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.03724 	 7.2877e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3034e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.04656 	 7.2879e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3035e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.05587 	 7.2881e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3037e+009 	 2.8085e+010 	 5.4225e+007 	 6.7749e+007
0.06518 	 7.2883e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3039e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.07449 	 7.2885e+009 	 2.6674e+010 	 5.3917e+007 	 6.7555e+007 	 7.3042e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.0838 	 7.2888e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3045e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.09311 	 7.2891e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3048e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1024 	 7.2895e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3051e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1117 	 7.2898e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3055e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.121 	 7.2902e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3059e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1304 	 7.2907e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3063e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1397 	 7.2912e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3068e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.149 	 7.2917e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3073e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1583 	 7.2922e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3079e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1676 	 7.2928e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3085e+009 	 2.8084e+010 	 5.4225e+007 	 6.7749e+007
0.1769 	 7.2934e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3091e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.1862 	 7.2941e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3097e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.1955 	 7.2948e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3104e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.2048 	 7.2955e+009 	 2.6673e+010 	 5.3917e+007 	 6.7555e+007 	 7.3111e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.2142 	 7.2962e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3119e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.2235 	 7.2970e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3127e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.2328 	 7.2978e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3135e+009 	 2.8083e+010 	 5.4225e+007 	 6.7749e+007
0.2421 	 7.2987e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3144e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
0.2514 	 7.2996e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3153e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
0.2607 	 7.3005e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3162e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
 0.27 	 7.3015e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3172e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
0.2793 	 7.3025e+009 	 2.6672e+010 	 5.3917e+007 	 6.7555e+007 	 7.3182e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
0.2886 	 7.3036e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3193e+009 	 2.8082e+010 	 5.4225e+007 	 6.7749e+007
0.298 	 7.3047e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3204e+009 	 2.8081e+010 	 5.4225e+007 	 6.7749e+007
0.3073 	 7.3058e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3215e+009 	 2.8081e+010 	 5.4225e+007 	 6.7749e+007
0.3166 	 7.3070e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3227e+009 	 2.8081e+010 	 5.4225e+007 	 6.7749e+007
0.3259 	 7.3082e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3239e+009 	 2.8081e+010 	 5.4225e+007 	 6.7749e+007
0.3352 	 7.3094e+009 	 2.6671e+010 	 5.3917e+007 	 6.7555e+007 	 7.3251e+009 	 2.8080e+010 	 5.4225e+007 	 6.7749e+007
0.3445 	 7.3107e+009 	 2.6670e+010 	 5.3917e+007 	 6.7555e+007 	 7.3264e+009 	 2.8080e+010 	 5.4225e+007 	 6.7749e+007
0.3538 	 7.3121e+009 	 2.6670e+010 	 5.3917e+007 	 6.7555e+007 	 7.3278e+009 	 2.8080e+010 	 5.4225e+007 	 6.7749e+007
0.3631 	 7.3134e+009 	 2.6670e+010 	 5.3917e+007 	 6.7555e+007 	 7.3291e+009 	 2.8080e+010 	 5.4225e+007 	 6.7749e+007
0.3724 	 7.3149e+009 	 2.6670e+010 	 5.3917e+007 	 6.7555e+007 	 7.3306e+009 	 2.8079e+010 	 5.4225e+007 	 6.7749e+007
0.3818 	 7.3163e+009 	 2.6670e+010 	 5.3917e+007 	 6.7555e+007 	 7.3320e+009 	 2.8079e+010 	 5.4225e+007 	 6.7749e+007
0.3911 	 7.3178e+009 	 2.6669e+010 	 5.3917e+007 	 6.7555e+007 	 7.3335e+009 	 2.8079e+010 	 5.4225e+007 	 6.7749e+007
0.4004 	 7.3194e+009 	 2.6669e+010 	 5.3917e+007 	 6.7555e+007 	 7.3351e+009 	 2.8079e+010 	 5.4225e+007 	 6.7749e+007
0.4097 	 7.3210e+009 	 2.6669e+010 	 5.3917e+007 	 6.7555e+007 	 7.3367e+009 	 2.8078e+010 	 5.4225e+007 	 6.7749e+007
0.419 	 7.3226e+009 	 2.6669e+010 	 5.3917e+007 	 6.7555e+007 	 7.3383e+009 	 2.8078e+010 	 5.4225e+007 	 6.7749e+007
0.4283 	 7.3243e+009 	 2.6669e+010 	 5.3917e+007 	 6.7555e+007 	 7.3400e+009 	 2.8078e+010 	 5.4225e+007 	 6.7749e+007
0.4376 	 7.3260e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3417e+009 	 2.8078e+010 	 5.4225e+007 	 6.7749e+007
0.4469 	 7.3278e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3435e+009 	 2.8077e+010 	 5.4225e+007 	 6.7749e+007
0.4562 	 7.3296e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3453e+009 	 2.8077e+010 	 5.4225e+007 	 6.7749e+007
0.4562 	 7.3296e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3453e+009 	 2.8077e+010 	 5.4225e+007 	 6.7749e+007
0.4656 	 7.3315e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3472e+009 	 2.8077e+010 	 5.4225e+007 	 6.7749e+007
0.4749 	 7.3334e+009 	 2.6668e+010 	 5.3917e+007 	 6.7555e+007 	 7.3492e+009 	 2.8076e+010 	 5.4225e+007 	 6.7749e+007
0.4842 	 7.3354e+009 	 2.6667e+010 	 5.3917e+007 	 6.7555e+007 	 7.3511e+009 	 2.8076e+010 	 5.4225e+007 	 6.7749e+007
0.4935 	 7.3374e+009 	 2.6667e+010 	 5.3917e+007 	 6.7555e+007 	 7.3532e+009 	 2.8076e+010 	 5.4225e+007 	 6.7749e+007
0.5028 	 7.3395e+009 	 2.6667e+010 	 5.3917e+007 	 6.7555e+007 	 7.3552e+009 	 2.8075e+010 	 5.4225e+007 	 6.7749e+007
0.5121 	 7.3416e+009 	 2.6666e+010 	 5.3917e+007 	 6.7555e+007 	 7.3574e+009 	 2.8075e+010 	 5.4225e+007 	 6.7749e+007
0.5214 	 7.3438e+009 	 2.6666e+010 	 5.3917e+007 	 6.7555e+007 	 7.3596e+009 	 2.8075e+010 	 5.4225e+007 	 6.7749e+007
0.5307 	 7.3460e+009 	 2.6666e+010 	 5.3917e+007 	 6.7555e+007 	 7.3618e+009 	 2.8074e+010 	 5.4225e+007 	 6.7749e+007
0.5401 	 7.3483e+009 	 2.6666e+010 	 5.3917e+007 	 6.7555e+007 	 7.3641e+009 	 2.8074e+010 	 5.4225e+007 	 6.7749e+007
0.5494 	 7.3507e+009 	 2.6665e+010 	 5.3917e+007 	 6.7555e+007 	 7.3665e+009 	 2.8073e+010 	 5.4225e+007 	 6.7749e+007
0.5587 	 7.3531e+009 	 2.6665e+010 	 5.3917e+007 	 6.7555e+007 	 7.3689e+009 	 2.8073e+010 	 5.4225e+007 	 6.7749e+007
0.568 	 7.3556e+009 	 2.6665e+010 	 5.3917e+007 	 6.7555e+007 	 7.3713e+009 	 2.8073e+010 	 5.4225e+007 	 6.7749e+007
0.5773 	 7.3581e+009 	 2.6665e+010 	 5.3917e+007 	 6.7555e+007 	 7.3739e+009 	 2.8072e+010 	 5.4225e+007 	 6.7749e+007
0.5866 	 7.3607e+009 	 2.6664e+010 	 5.3917e+007 	 6.7555e+007 	 7.3765e+009 	 2.8072e+010 	 5.4225e+007 	 6.7749e+007
0.5959 	 7.3633e+009 	 2.6664e+010 	 5.3917e+007 	 6.7555e+007 	 7.3791e+009 	 2.8071e+010 	 5.4225e+007 	 6.7749e+007
0.6052 	 7.3660e+009 	 2.6664e+010 	 5.3917e+007 	 6.7555e+007 	 7.3818e+009 	 2.8071e+010 	 5.4225e+007 	 6.7749e+007
0.6145 	 7.3688e+009 	 2.6663e+010 	 5.3917e+007 	 6.7555e+007 	 7.3846e+009 	 2.8071e+010 	 5.4225e+007 	 6.7749e+007
0.6239 	 7.3716e+009 	 2.6663e+010 	 5.3917e+007 	 6.7555e+007 	 7.3874e+009 	 2.8070e+010 	 5.4225e+007 	 6.7749e+007
0.6332 	 7.3745e+009 	 2.6663e+010 	 5.3917e+007 	 6.7555e+007 	 7.3903e+009 	 2.8070e+010 	 5.4225e+007 	 6.7749e+007
0.6425 	 7.3775e+009 	 2.6662e+010 	 5.3917e+007 	 6.7555e+007 	 7.3933e+009 	 2.8069e+010 	 5.4225e+007 	 6.7749e+007
0.6518 	 7.3805e+009 	 2.6662e+010 	 5.3917e+007 	 6.7555e+007 	 7.3963e+009 	 2.8069e+010 	 5.4225e+007 	 6.7749e+007
0.6611 	 7.3836e+009 	 2.6662e+010 	 5.3917e+007 	 6.7555e+007 	 7.3994e+009 	 2.8068e+010 	 5.4225e+007 	 6.7749e+007
0.6704 	 7.3868e+009 	 2.6661e+010 	 5.3917e+007 	 6.7555e+007 	 7.4026e+009 	 2.8068e+010 	 5.4225e+007 	 6.7749e+007
0.6797 	 7.3900e+009 	 2.6661e+010 	 5.3917e+007 	 6.7555e+007 	 7.4059e+009 	 2.8068e+010 	 5.4225e+007 	 6.7749e+007
0.689 	 7.3933e+009 	 2.6661e+010 	 5.3917e+007 	 6.7555e+007 	 7.4092e+009 	 2.8067e+010 	 5.4225e+007 	 6.7749e+007
0.6983 	 7.3967e+009 	 2.6660e+010 	 5.3917e+007 	 6.7555e+007 	 7.4126e+009 	 2.8067e+010 	 5.4225e+007 	 6.7749e+007
0.7077 	 7.4002e+009 	 2.6660e+010 	 5.3917e+007 	 6.7555e+007 	 7.4160e+009 	 2.8066e+010 	 5.4225e+007 	 6.7749e+007
0.717 	 7.4037e+009 	 2.6660e+010 	 5.3917e+007 	 6.7555e+007 	 7.4196e+009 	 2.8066e+010 	 5.4225e+007 	 6.7749e+007
0.7263 	 7.4073e+009 	 2.6659e+010 	 5.3917e+007 	 6.7555e+007 	 7.4232e+009 	 2.8065e+010 	 5.4225e+007 	 6.7749e+007
0.7356 	 7.4110e+009 	 2.6659e+010 	 5.3917e+007 	 6.7555e+007 	 7.4269e+009 	 2.8065e+010 	 5.4225e+007 	 6.7749e+007
0.7449 	 7.4148e+009 	 2.6659e+010 	 5.3917e+007 	 6.7555e+007 	 7.4307e+009 	 2.8064e+010 	 5.4225e+007 	 6.7749e+007
0.7542 	 7.4186e+009 	 2.6658e+010 	 5.3917e+007 	 6.7555e+007 	 7.4345e+009 	 2.8064e+010 	 5.4225e+007 	 6.7749e+007
0.7635 	 7.4226e+009 	 2.6658e+010 	 5.3917e+007 	 6.7555e+007 	 7.4385e+009 	 2.8063e+010 	 5.4225e+007 	 6.7749e+007
0.7728 	 7.4266e+009 	 2.6657e+010 	 5.3917e+007 	 6.7555e+007 	 7.4425e+009 	 2.8063e+010 	 5.4225e+007 	 6.7749e+007
0.7821 	 7.4307e+009 	 2.6657e+010 	 5.3917e+007 	 6.7555e+007 	 7.4466e+009 	 2.8062e+010 	 5.4225e+007 	 6.7749e+007
0.7915 	 7.4349e+009 	 2.6657e+010 	 5.3917e+007 	 6.7555e+007 	 7.4508e+009 	 2.8061e+010 	 5.4225e+007 	 6.7749e+007
0.8008 	 7.4392e+009 	 2.6656e+010 	 5.3917e+007 	 6.7555e+007 	 7.4551e+009 	 2.8061e+010 	 5.4225e+007 	 6.7749e+007
0.8101 	 7.4436e+009 	 2.6656e+010 	 5.3917e+007 	 6.7555e+007 	 7.4595e+009 	 2.8060e+010 	 5.4225e+007 	 6.7749e+007
0.8194 	 7.4480e+009 	 2.6655e+010 	 5.3917e+007 	 6.7555e+007 	 7.4640e+009 	 2.8060e+010 	 5.4225e+007 	 6.7749e+007
0.8287 	 7.4526e+009 	 2.6655e+010 	 5.3917e+007 	 6.7555e+007 	 7.4686e+009 	 2.8059e+010 	 5.4225e+007 	 6.7749e+007
0.838 	 7.4573e+009 	 2.6654e+010 	 5.3917e+007 	 6.7555e+007 	 7.4732e+009 	 2.8059e+010 	 5.4225e+007 	 6.7749e+007
0.8473 	 7.4620e+009 	 2.6654e+010 	 5.3917e+007 	 6.7555e+007 	 7.4780e+009 	 2.8058e+010 	 5.4225e+007 	 6.7749e+007
0.8566 	 7.4669e+009 	 2.6654e+010 	 5.3917e+007 	 6.7555e+007 	 7.4829e+009 	 2.8057e+010 	 5.4225e+007 	 6.7749e+007
0.8659 	 7.4718e+009 	 2.6653e+010 	 5.3917e+007 	 6.7555e+007 	 7.4878e+009 	 2.8057e+010 	 5.4225e+007 	 6.7749e+007
0.8753 	 7.4769e+009 	 2.6653e+010 	 5.3917e+007 	 6.7555e+007 	 7.4929e+009 	 2.8056e+010 	 5.4225e+007 	 6.7749e+007
0.8846 	 7.4821e+009 	 2.6652e+010 	 5.3917e+007 	 6.7555e+007 	 7.4981e+009 	 2.8056e+010 	 5.4225e+007 	 6.7749e+007
